localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/layouts/layout/img/sidebar_toggler_icon_darkblue.png HTTP/1.1" 200 135 "http://localhost:9090/gms-web/common/assets/layouts/layout/css/themes/darkblue.min.css" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 200 64464 "http://localhost:9090/gms-web/common/assets/global/plugins/font-awesome/css/font-awesome.min.css" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.woff HTTP/1.1" 200 59324 "http://localhost:9090/gms-web/common/assets/global/plugins/simple-line-icons/simple-line-icons.min.css" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:11] "GET /gms-web/index/showActivation?userStatus=admin&userType=ADMIN HTTP/1.1" 200 237 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:11] "GET /gms-web/index/showPie?userStatus=admin&userType=ADMIN HTTP/1.1" 200 176 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:11] "GET /gms-web/index/baseData?userType=ADMIN&userStatus=admin HTTP/1.1" 200 79 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:11] "GET /gms-web/index/showStore?userStatus=admin&userType=ADMIN HTTP/1.1" 200 82 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:15] "GET /gms-web/region/list HTTP/1.1" 500 54 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/device/activation/list HTTP/1.1" 200 42188 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/common/assets/layouts/layout/css/custom.min.css HTTP/1.1" 200 0 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
